iter	Passed	Remaining
0	168	84179
1	187	46612
2	203	33768
3	221	27456
4	237	23555
5	255	21010
6	271	19155
7	289	17826
8	308	16817
9	324	15919
10	343	15285
11	362	14754
12	382	14336
13	400	13912
14	419	13554
15	437	13245
16	455	12935
17	472	12646
18	489	12400
19	507	12171
20	524	11956
21	542	11783
22	561	11647
23	581	11530
24	599	11388
25	618	11280
26	637	11165
27	655	11057
28	674	10954
29	693	10861
30	714	10806
31	732	10719
32	751	10637
33	769	10553
34	787	10463
35	804	10368
36	821	10282
37	838	10198
38	856	10129
39	876	10077
40	894	10019
41	913	9958
42	932	9908
43	950	9853
44	970	9816
45	989	9766
46	1007	9713
47	1025	9656
48	1043	9606
49	1061	9556
50	1079	9507
51	1097	9458
52	1116	9414
53	1133	9365
54	1151	9315
55	1168	9268
56	1188	9235
57	1207	9204
58	1227	9177
59	1249	9162
60	1269	9133
61	1291	9123
62	1311	9098
63	1333	9082
64	1354	9067
65	1374	9038
66	1394	9009
67	1414	8985
68	1434	8962
69	1454	8936
70	1475	8915
71	1494	8881
72	1515	8861
73	1535	8836
74	1555	8815
75	1575	8792
76	1599	8784
77	1621	8775
78	1645	8769
79	1669	8762
80	1691	8748
81	1712	8728
82	1736	8723
83	1757	8705
84	1779	8687
85	1809	8710
86	1828	8681
87	1848	8655
88	1869	8634
89	1892	8623
90	1915	8609
91	1938	8598
92	1959	8576
93	1979	8551
94	2001	8531
95	2020	8504
96	2041	8481
97	2060	8453
98	2080	8428
99	2100	8403
100	2120	8376
101	2140	8352
102	2159	8325
103	2179	8300
104	2199	8276
105	2218	8247
106	2239	8226
107	2260	8204
108	2282	8189
109	2305	8172
110	2326	8154
111	2348	8136
112	2372	8124
113	2395	8109
114	2415	8087
115	2435	8062
116	2455	8036
117	2474	8009
118	2493	7984
119	2512	7956
120	2532	7932
121	2554	7913
122	2575	7895
