iter	Passed	Remaining
0	167	83787
1	183	45670
2	198	32962
3	215	26773
4	232	23054
5	249	20557
6	266	18774
7	283	17430
8	299	16362
9	316	15530
10	334	14848
11	350	14273
12	368	13791
13	385	13374
14	402	13010
15	419	12687
16	436	12394
17	453	12132
18	469	11898
19	487	11695
20	504	11497
21	521	11328
22	538	11162
23	555	11015
24	572	10873
25	589	10750
26	606	10624
27	623	10511
28	640	10398
29	657	10298
30	674	10205
31	691	10116
32	708	10029
33	725	9946
34	743	9871
35	760	9795
36	776	9721
37	793	9647
38	810	9581
39	827	9520
40	844	9458
41	861	9395
42	878	9339
43	895	9281
44	912	9226
45	929	9176
46	947	9128
47	964	9079
48	981	9030
49	999	8994
50	1017	8960
51	1037	8934
52	1055	8904
53	1073	8863
54	1089	8817
55	1107	8778
56	1124	8735
57	1141	8697
58	1158	8659
59	1175	8620
60	1192	8584
61	1209	8545
62	1226	8510
63	1244	8479
64	1262	8448
65	1279	8416
66	1297	8382
67	1314	8352
68	1332	8320
69	1350	8293
70	1367	8261
71	1385	8237
72	1402	8203
73	1419	8173
74	1436	8142
75	1454	8113
76	1471	8083
77	1488	8053
78	1505	8022
79	1522	7992
80	1539	7964
81	1556	7935
82	1574	7910
83	1591	7881
84	1609	7855
85	1627	7832
86	1644	7807
87	1662	7783
88	1680	7758
89	1698	7737
90	1716	7714
91	1734	7692
92	1752	7670
93	1771	7649
94	1790	7632
95	1808	7611
96	1827	7591
97	1845	7569
98	1863	7549
99	1882	7528
100	1900	7508
101	1919	7488
102	1937	7468
103	1955	7447
104	1974	7429
105	1993	7411
106	2014	7398
107	2033	7381
108	2052	7363
109	2072	7348
110	2092	7332
111	2113	7320
112	2132	7304
113	2152	7287
114	2171	7271
115	2191	7255
116	2211	7239
117	2230	7221
118	2250	7205
119	2269	7187
