iter	Logloss
0	0.6650330878
1	0.6409567269
2	0.618878578
3	0.5961104407
4	0.5788446081
5	0.5596353466
6	0.5414862606
7	0.526477507
8	0.5181611851
9	0.5054710783
10	0.4923525955
11	0.4810469421
12	0.4692352959
13	0.4602833516
14	0.4513945795
15	0.4426894726
16	0.4344406039
17	0.4302800235
18	0.4229614985
19	0.4150212637
20	0.4075433589
21	0.4001609151
22	0.3947663701
23	0.3906112884
24	0.3860618311
25	0.3810569502
26	0.3744905992
27	0.3707873704
28	0.3640481075
29	0.3601318228
30	0.3533105596
31	0.3493285859
32	0.346298403
33	0.340073797
34	0.3361525413
35	0.3317379778
36	0.3271211627
37	0.3241768115
38	0.3212347296
39	0.3167363283
40	0.3127522496
41	0.3092970925
42	0.3061523314
43	0.3020449746
44	0.2989595927
45	0.2955195838
46	0.2921536328
47	0.2892655023
48	0.2850838307
49	0.2822839504
50	0.2788718858
51	0.2769879619
52	0.2735991631
53	0.2728071848
54	0.2706581226
55	0.2678037595
56	0.2658191782
57	0.2648135314
58	0.2611773252
59	0.2586010493
60	0.2566594505
61	0.2544105846
62	0.2514332355
63	0.2491353761
64	0.2459506946
65	0.2435750529
66	0.2413639735
67	0.2373619609
68	0.2355277669
69	0.2336694853
70	0.2304268367
71	0.2287378868
72	0.2272019296
73	0.2254886785
74	0.2241913392
75	0.2212732107
76	0.2191816945
77	0.2172687622
78	0.2156481737
79	0.2132608909
80	0.2120390295
81	0.2099129135
82	0.2073612711
83	0.2055760129
84	0.2036983171
85	0.2013361562
86	0.1980039827
87	0.1961588212
88	0.1947932785
89	0.1935181705
90	0.1915125622
91	0.1898228574
92	0.1878383486
93	0.1866044693
94	0.185441585
95	0.1840851092
96	0.1821122753
97	0.1798096985
98	0.1790283878
99	0.1770798772
100	0.1749557941
101	0.1727661783
102	0.1713625855
103	0.1693871909
104	0.1679630917
105	0.1655436326
106	0.1649196895
107	0.1636392521
108	0.1628786385
109	0.1613501038
110	0.1601298695
111	0.1595655058
112	0.1588955302
113	0.1575838195
114	0.1555239577
115	0.1539883082
116	0.1519582619
117	0.1510131442
118	0.1499033483
119	0.1489214019
120	0.1472809259
121	0.1449000951
122	0.1430834699
123	0.1417725551
124	0.1401492746
125	0.1389486706
126	0.1385284203
127	0.1376560822
128	0.1370191918
129	0.1358841897
130	0.134254971
131	0.132736937
132	0.1315877486
133	0.1304245997
134	0.1291612247
