iter	Passed	Remaining
0	285	142423
1	410	102166
2	445	73795
3	546	67781
4	646	64003
5	703	57959
6	766	53960
7	833	51244
8	889	48508
9	967	47385
10	1010	44925
11	1089	44306
12	1132	42432
13	1243	43152
14	1338	43270
15	1416	42845
16	1462	41542
17	1536	41133
18	1582	40053
19	1658	39792
20	1703	38850
21	1786	38819
22	1824	37842
23	1912	37934
24	1944	36941
25	2032	37055
26	2064	36162
27	2146	36177
28	2185	35500
29	2276	35658
30	2308	34918
31	2403	35152
32	2428	34369
33	2541	34833
34	2627	34909
35	2695	34741
36	2747	34386
37	2812	34197
38	2870	33925
39	2953	33962
40	2995	33536
41	3087	33672
42	3118	33137
43	3219	33369
44	3259	32960
45	3352	33085
46	3433	33093
47	3474	32715
48	3570	32864
49	3597	32374
50	3696	32548
51	3723	32077
52	3820	32221
53	3842	31737
54	3940	31882
55	3963	31424
56	4060	31561
57	4089	31162
58	4181	31256
59	4214	30908
60	4302	30963
61	4340	30665
62	4423	30682
63	4451	30324
64	4571	30592
65	4642	30525
66	4712	30457
67	4765	30273
68	4857	30342
69	4886	30019
70	4974	30059
71	5083	30219
72	5129	30001
73	5207	29978
74	5288	29968
75	5332	29750
76	5418	29765
77	5540	29972
78	5597	29829
79	5634	29581
80	5754	29764
81	5807	29605
82	5853	29406
83	5978	29608
84	6078	29676
85	6147	29595
86	6201	29437
87	6258	29300
88	6320	29187
89	6389	29107
90	6439	28944
91	6496	28812
92	6623	28987
93	6661	28770
94	6757	28806
95	6786	28559
96	6921	28758
97	6980	28632
98	7039	28515
99	7100	28402
100	7171	28329
101	7222	28181
102	7295	28121
103	7344	27964
104	7454	28041
105	7500	27879
106	7630	28024
107	7675	27858
108	7750	27803
109	7795	27638
110	7902	27694
111	7960	27578
112	8033	27512
113	8094	27406
114	8231	27557
115	8322	27548
116	8345	27320
117	8441	27328
118	8464	27101
119	8563	27116
120	8607	26961
121	8685	26911
122	8718	26722
123	8836	26794
124	8948	26844
125	8970	26626
126	9067	26632
127	9092	26423
128	9191	26434
129	9214	26225
130	9314	26235
131	9354	26079
132	9438	26045
133	9490	25921
134	9613	25992
