iter	Passed	Remaining
0	165	165249
1	181	90577
2	199	66303
3	216	53978
4	234	46709
5	252	41801
6	271	38474
7	288	35823
8	306	33767
9	324	32161
10	343	30869
11	362	29819
12	380	28905
13	398	28032
14	416	27336
15	434	26730
16	451	26113
17	468	25548
18	486	25105
19	504	24721
20	522	24348
21	539	23984
22	557	23669
23	575	23389
24	592	23117
25	610	22861
26	629	22679
27	647	22466
28	665	22268
29	682	22055
30	700	21884
31	717	21690
32	735	21544
33	753	21398
34	771	21262
35	788	21108
36	805	20971
37	823	20851
38	841	20740
39	859	20617
40	877	20521
41	895	20416
42	913	20329
43	930	20227
44	948	20125
45	966	20054
46	985	19986
47	1003	19910
48	1022	19837
49	1041	19785
50	1060	19741
51	1079	19674
52	1096	19593
53	1115	19538
54	1134	19485
55	1151	19408
56	1168	19333
57	1186	19274
58	1205	19220
59	1222	19149
60	1239	19079
61	1257	19028
62	1276	18988
63	1294	18925
64	1311	18860
65	1328	18803
66	1346	18756
67	1364	18706
68	1381	18643
69	1398	18586
70	1417	18541
71	1435	18502
72	1452	18444
73	1469	18394
74	1488	18353
75	1506	18320
76	1524	18271
77	1541	18221
78	1559	18176
79	1577	18139
80	1595	18101
81	1612	18052
82	1631	18019
83	1649	17990
84	1668	17956
85	1685	17918
86	1703	17880
87	1722	17855
88	1742	17836
89	1760	17801
90	1780	17783
91	1798	17750
92	1816	17716
93	1834	17684
94	1852	17647
95	1870	17612
96	1889	17588
97	1906	17551
98	1924	17518
99	1943	17493
100	1961	17460
101	1979	17429
102	1997	17392
103	2015	17362
